Quantas vagas totais são oferecidas no vestibular unicamp 2024?,"[""2537 vagas oferecidas""]",O vestibular 2024 oferece 2537 vagas.
Em qual periodo o curso de ciência da computação é oferecido?,"[""Ciência da Computação (Noturno)"", ""Ciência da Computação (Noturno)"", ""Ciência da Computação (Noturno)""]",Ciência da computação é um curso do periodo noturno.
Quais são os objetivos do Vestibular Unicamp 2024?,"[""Classificar e selecionar candidatos(as) adequados(as)"",
""Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica""]","Os objetivos do Vestibular Unicamp 2024 incluem classificar e selecionar candidatos adequados ao perfil desejado pela Unicamp, verificar o domínio do conhecimento desenvolvido no Ensino Médio, avaliar a aptidão e o potencial dos candidatos para o curso superior, e interagir com os sistemas de Ensino Fundamental e Médio para contribuir com o aprimoramento da educação básica."
Quais são os critérios pelos quais os candidatos serão avaliados no Vestibular Unicamp 2024?,"[""alcançar os objetivos estabelecidos, o VU 2024"", ""Capacidade de interpretar dados e fato""]","Os candidatos serão avaliados no Vestibular Unicamp 2024 com base em sua capacidade de se expressar com clareza, organizar ideias, estabelecer relações, interpretar dados, elaborar hipóteses, dominar os conteúdos das áreas de conhecimento do Ensino Médio, e relacionar informações interdisciplinares."
Onde as provas de habilidades especiais para artes cenicas acontecerão?,"[""As provas de Habilidades Específicas para o curso de Artes Cênicas serão realizadas somente em Campinas""]",As provas de habilidades específicas acontecerão em Campinas.
Quantas vagas são efertadas para o curso de música popula Piano?,"[""Música Popular: Piano - 2 vagas""]",São ofertadas 2 vagas para o curso de música popular Piano.
Quais áreas do conhecimento são cobradas na primeira fase do vestibular?,"[""A prova de primeira fase é composta por 72 questões objetivas que avaliam, de maneira preliminar, as disciplinas distribuídas da seguinte forma""]","As áreas cobradas na pimeira fase do vestibular são: Matemática, Língua Portuguesa, Inglês, Biologia, Química, Física, História, Geografia, Filosofia e Sociologia."
Quem não pode participar do PAAIS?,"[""Não poderão se beneficiar do PAAIS""]",Pessoas que já concluiram graduação ou pós-graduação em universidades publicas.
Como será o processo de identificação civil durante a segunda fase do vestibular?,"[""Durante a realização das provas da 2ª fase, será adotado o procedimento de identificação civil dos(as) candidatos(as)""]","Será verificado documentos de identidade, coletado assinaturas, impressão digital ou identificação facial."
Quais temas pertinentes a Equilíbrio químico são cobrados no vestibular?,"[""Princípio de Le Chatelier""]","São cobrados no vestibular os seguintes temas relacionados com Equilibrio quimico: Sistemas em equilíbrio, Constante de equilíbrio, Princípio de Le Chatelier, Conceitos ácido-base de Arrhenius, Bronsted e Lewis, Equilíbrios envolvendo ácidos e bases, hidrólise e solubilidade, pH de soluções."
O que é exigido de um candidato ao vestibular na prova de matemática para ser bem sucedido?,"[""interpretar e elaborar tabelas e gráficos"", ""a elaboração cuidadosa dos cálculos""]","Exige-se que o candidato leia atentamento os enunciados, faça calculos cuidadosamente e que saiba resolver problemas relacionados ao cotidiano, como também interpretar e elaborar tabelas e gráficos."
O que acontece quando um aluno já matriculado na unicamp efetua outra matricula?,"[""O(a) aluno(a) já matriculado(a) em um curso da Unicamp""]","O aluno tem sua matricula no curso anterior cancelada, prevalencendo a vaga obtida no vestibular 2024."
O que acontece quando um aluno é convocado para uma vaga em um mesmo curso atráves de dois sistemas de ingresso diferentes e um desses sistema é o vestibular da unicamp (VU 2024)?,"[""no mesmo curso, na mesma chamada, no VU 2024 e em outros sistemas de ingresso""]",A vaga preenchida pelo aluno deverá ser a destinada para o vestibular unicamp 2024 (VU 2024).
Como são as questões da segunda fase do vestibular?,"[""Na segunda fase, composta por questões dissertativas"", ""Na segunda fase, com provas discursivas (abertas)""]","As questões são discurssivas (abertas) e envolvem Matematica, literaturas de Língua portuguesa e interdisciplinar em inglês.  "
Qual o prazo para pagar o boleto da inscrição?,"[""O prazo para o pagamento do boleto bancário""]",O prazo final é 08 de setembro.
Qual o valor da inscrição no vestibular?,"[""A Taxa de Inscrição para o VU 2024 será de""]","A taxa de inscrição para o VU 2024 será de R$ 192,00 (cento e noventa e dois reais)"
Quais cursos precisam de provas de Habilidades Específicas?,"[""haverá provas de Habilidades Específicas para os seguintes cursos""]","Os cursos de Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Cursos de Música precisam passar por provas de habilidades específicas."
É possível fazer matrícula condicional?,"[""matrícula condicional""]",Não é possivel fazer matricula condicional de forma alguma.
É possível pedir vista ou revisão de prova?,"[""Não será concedida vista ou revisão de provas""]","Não é possível pedir vista ou revisão de prova. Apenas eventuais objeções sobre alguma questão do exame que precisam ser encaminhdas à Comvest com identificação da pessoa, por meio de correio eletrônico, em um prazo de três dias após a realização da prova.  "
O candidato que zerar alguma das provas pode continuar no processo?,"[""obtenção de nota 0 (zero)"", ""os que obtiverem nota 0""]","Se o candidato obter um zero em qualquer uma das provas, com exceção da prova de Habilidade Específica, ele estará desclassificado do vestibular. "
"Por quais motivos a redação, que acontece na segunda fase do vestibular, pode ser anulada?","[""não cumprir as tarefas solicitadas"", ""reproduzir os textos da prova""]","A redação pode ser anulada quando o tema abordado não estiver de acordo com a proposta escolhida, caso o candidato não realize as tarefas presentes na proposta ou apresente um tema divergente daquele proposto. Também se o candidato plagiar de alguma forma os textos presentes na prova e coletânea de apoio."
Quais requisitos uma pessoa precisa ter para possuir o direito a Redução da Taxa do Vestibular da Unicamp 2024?,"[""remuneração mensal inferior a dois salários-mínimos"", ""ANEXO VII Redução Parcial da Taxa de Inscrição""]","Estudantes do Ensino Médio, Curso Pré-vestibular, Cursos de Graduação e Pós-graduação, desde que tenham renda mensal inferior a dois salários mínimos ou estejam desempregados. "
O Vestibular Unicamp 2024 oferece condições para pessoas com algum tipo deficiência realizarem as provas? ,"[""candidato(a) com deficiência"", ""devem informar suas necessidades no Formulário de Inscrição""]","Sim, desde que haja a devida indicação do tipo de deficiência e necessidades do candidato, com laudo médico recente, que deve ser apresentado anexado no momento da inscrição no vestibular."
Quais são os requisitos que um candidato precisa possuir para ter direito a ação afirmativa de cotas étinico-raciais? ,"[""deverão possuir traços fenotípicos que os(as) caracterizem como negro(as)""]","Os candidatos precisam possuir traços fenotípicos que os caracterizam como nregos, de cor preta ou parda."
Em qual caso um candidato cotista indeferido pode ser convocado para as vagas de ampla concorrência?,"[""cotistas indeferidos(as)"", ""autodeclarações não-validadas""]",Um candidato cotista indeferido pode ser convocado para vagas de ampla concorrência no caso onde todos candidatos de um curso tenham sido convocados e ainda existam vagas a serem preenchidas. 
Qual o maximo de pontos que pode se obter em uma questão das provas da 2ª fase fase do vestibular?,"[""Nas provas da 2ª fase, cada questão vale""]",Cada questão vale no maximo 4 pontos.
Nas questões da prova é preciso provar teoremas?,"[""Nas provas da 2ª fase, cada questão vale""]","Não é exigido demonstrar teoremas classicos, mas os conhecimento e a compreensão deles são fundamentais para um bom desempenho do candidato. "